model,organ,contrast_type,25%,Median,75%
Swin_UNETR,kidney_right,Venous,0.9066985249519348,0.9227263927459716,0.9349398612976074
Swin_UNETR,liver,Arterial,0.9490669965744019,0.9563443064689636,0.9615495204925537
Swin_UNETR,liver,Venous,0.9583461284637452,0.9630597233772278,0.9668912887573242
Swin_UNETR,pancreas,Arterial,0.7126245945692062,0.7877307236194611,0.8253111988306046
Swin_UNETR,pancreas,Venous,0.7632647752761841,0.8185017108917236,0.850507378578186
Swin_UNETR,postcava,Arterial,0.672822430729866,0.754846602678299,0.8124933242797852
Swin_UNETR,postcava,Venous,0.7396428287029266,0.8037258684635162,0.847216472029686
Swin_UNETR,spleen,Arterial,0.9236368834972382,0.9420560002326964,0.954004317522049
Swin_UNETR,spleen,Venous,0.9338361173868179,0.9462937712669373,0.9568218141794206
Swin_UNETR,stomach,Arterial,0.9018172472715378,0.9262175559997559,0.9405616670846939
Swin_UNETR,stomach,Venous,0.90468567609787,0.9285208582878112,0.94108784198761
Swin_UNETR_CLIP,aorta,Arterial,0.7610395103693008,0.8734973073005676,0.898547813296318
Swin_UNETR_CLIP,aorta,Venous,0.6728468537330627,0.7270546555519104,0.8341355919837952
Swin_UNETR_CLIP,gall_bladder,Arterial,0.7834888398647308,0.8519202172756195,0.8888078778982162
Swin_UNETR_CLIP,gall_bladder,Venous,0.8112436234951019,0.8731295466423035,0.9046065956354141
Swin_UNETR_CLIP,kidney_left,Arterial,0.9073806405067444,0.9200724363327026,0.9300843179225922
Swin_UNETR_CLIP,kidney_left,Venous,0.9102368652820587,0.9230110049247742,0.9346030056476592
Swin_UNETR_CLIP,kidney_right,Arterial,0.9185595512390136,0.9308695793151855,0.9396358132362366
Swin_UNETR_CLIP,kidney_right,Venous,0.9181908220052719,0.9302470088005066,0.9399067014455795
Swin_UNETR_CLIP,liver,Arterial,0.9555515795946121,0.961782306432724,0.9658433496952058
Swin_UNETR_CLIP,liver,Venous,0.9617318212985992,0.966369330883026,0.9698087275028229
Swin_UNETR_CLIP,pancreas,Arterial,0.7802533209323883,0.8275136947631836,0.8565870225429535
Swin_UNETR_CLIP,pancreas,Venous,0.8144592940807343,0.8511577844619751,0.875878632068634
Swin_UNETR_CLIP,postcava,Arterial,0.6939481496810913,0.7657981514930725,0.8256160914897919
Swin_UNETR_CLIP,postcava,Venous,0.7606590688228607,0.818971574306488,0.8562852740287781
Swin_UNETR_CLIP,spleen,Arterial,0.9377023279666901,0.9490270018577576,0.9573937356472015
Swin_UNETR_CLIP,spleen,Venous,0.945746123790741,0.9550518989562988,0.9613686800003052
Swin_UNETR_CLIP,stomach,Arterial,0.921761691570282,0.9415190815925598,0.9526591897010804
Swin_UNETR_CLIP,stomach,Venous,0.9192758798599242,0.9389201402664183,0.9504365921020508
U-Net_CLIP,aorta,Arterial,0.7370864897966385,0.8466400504112244,0.8908280730247498
U-Net_CLIP,aorta,Venous,0.6741178780794144,0.7305447459220886,0.835470587015152
U-Net_CLIP,gall_bladder,Arterial,0.7988403737545013,0.8573400378227234,0.8912701308727264
U-Net_CLIP,gall_bladder,Venous,0.818767786026001,0.874228447675705,0.9043297171592711
U-Net_CLIP,kidney_left,Arterial,0.9101583063602449,0.9218172430992126,0.9321086257696151
U-Net_CLIP,kidney_left,Venous,0.9101929068565368,0.9231016039848328,0.934454619884491
U-Net_CLIP,kidney_right,Arterial,0.9168921858072281,0.9299563765525818,0.9398148059844971
U-Net_CLIP,kidney_right,Venous,0.9163692742586136,0.9291729629039764,0.9383045881986618
U-Net_CLIP,liver,Arterial,0.955419033765793,0.9611729085445404,0.9651910811662675
U-Net_CLIP,liver,Venous,0.9614803194999696,0.9660051465034484,0.9692124724388124
U-Net_CLIP,pancreas,Arterial,0.7902647405862808,0.8339048027992249,0.8604925870895386
U-Net_CLIP,pancreas,Venous,0.8164422363042831,0.8508402109146118,0.8753531873226166
U-Net_CLIP,postcava,Arterial,0.7131549715995789,0.7828861474990845,0.829089492559433
U-Net_CLIP,postcava,Venous,0.7762562781572342,0.8267606794834137,0.8611404895782471
U-Net_CLIP,spleen,Arterial,0.9406580775976182,0.9514021873474122,0.9589222669601439
U-Net_CLIP,spleen,Venous,0.9445290714502335,0.954127311706543,0.9613860547542572
U-Net_CLIP,stomach,Arterial,0.9191083461046219,0.9405809044837952,0.9520740211009979
U-Net_CLIP,stomach,Venous,0.9201030135154724,0.9395606517791748,0.9517036080360411
UCTransNet,aorta,Arterial,0.8491177707910538,0.8915409445762634,0.9115470349788666
UCTransNet,aorta,Venous,0.8599452823400497,0.8862565755844116,0.9042406231164931
UCTransNet,gall_bladder,Arterial,0.7230434268712997,0.8361299335956573,0.8882579356431961
UCTransNet,gall_bladder,Venous,0.763354480266571,0.8604686260223389,0.9058645963668824
UCTransNet,kidney_left,Arterial,0.8556907325983047,0.9034070670604706,0.9224392473697663
UCTransNet,kidney_left,Venous,0.8836551904678345,0.9137890934944153,0.9297958165407181
UCTransNet,kidney_right,Arterial,0.846279501914978,0.9088777899742126,0.9308857321739196
UCTransNet,kidney_right,Venous,0.8904502987861633,0.9200689196586608,0.93495512008667
UCTransNet,liver,Arterial,0.9306089878082277,0.9520292282104492,0.961706817150116
UCTransNet,liver,Venous,0.9356481432914734,0.9546652436256408,0.9635427594184875
UCTransNet,pancreas,Arterial,0.4371320754289627,0.619970828294754,0.7362030893564224
UCTransNet,pancreas,Venous,0.5076673030853271,0.681247889995575,0.775898814201355
UCTransNet,postcava,Arterial,0.5326808989048004,0.6536271274089813,0.7429423332214355
UCTransNet,postcava,Venous,0.6908907741308212,0.7680206894874573,0.826130136847496
UCTransNet,spleen,Arterial,0.8800927996635437,0.9305960536003112,0.9513352513313292
UCTransNet,spleen,Venous,0.9176665246486664,0.9456547498703002,0.9592789262533188
