"algoRow","algoCol","pval","confidenceTier"
"MONAI_LHU-Net","nnU-Net_STU-Net_H",1,"<75%"
"MONAI_SegVol","nnU-Net_STU-Net_H",1,"<75%"
"MONAI_Swin_UNETR","nnU-Net_STU-Net_H",1,"<75%"
"MONAI_UCTransNet","nnU-Net_STU-Net_H",1,"<75%"
"MONAI_UNEST","nnU-Net_STU-Net_H",1,"<75%"
"MONAI_UNETR","nnU-Net_STU-Net_H",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_STU-Net_H",1,"<75%"
"Vision_Language_U-Net_CLIP","nnU-Net_STU-Net_H",1,"<75%"
"_Diff-UNet","nnU-Net_STU-Net_H",1,"<75%"
"_MedFormer","nnU-Net_STU-Net_H",1,"<75%"
"_SAM-Adapter","nnU-Net_STU-Net_H",1,"<75%"
"nnU-Net_MedNeXt","nnU-Net_STU-Net_H",4.43379707587664e-05,"<U+2265>99.99%"
"nnU-Net_NexToU","nnU-Net_STU-Net_H",1,"<75%"
"nnU-Net_ResEncL","nnU-Net_STU-Net_H",0.110874832608657,"<U+2265>75%"
"nnU-Net_STU-Net_B","nnU-Net_STU-Net_H",1.96088125977312e-19,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","nnU-Net_STU-Net_H",NA,NA
"nnU-Net_STU-Net_L","nnU-Net_STU-Net_H",5.97132451035358e-17,"<U+2265>99.99%"
"nnU-Net_U-Net","nnU-Net_STU-Net_H",0.935438806724577,"<75%"
"nnU-Net_UniSeg","nnU-Net_STU-Net_H",1,"<75%"
"MONAI_LHU-Net","nnU-Net_STU-Net_L",1,"<75%"
"MONAI_SegVol","nnU-Net_STU-Net_L",1,"<75%"
"MONAI_Swin_UNETR","nnU-Net_STU-Net_L",1,"<75%"
"MONAI_UCTransNet","nnU-Net_STU-Net_L",1,"<75%"
"MONAI_UNEST","nnU-Net_STU-Net_L",1,"<75%"
"MONAI_UNETR","nnU-Net_STU-Net_L",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_STU-Net_L",1,"<75%"
"Vision_Language_U-Net_CLIP","nnU-Net_STU-Net_L",1,"<75%"
"_Diff-UNet","nnU-Net_STU-Net_L",1,"<75%"
"_MedFormer","nnU-Net_STU-Net_L",1,"<75%"
"_SAM-Adapter","nnU-Net_STU-Net_L",1,"<75%"
"nnU-Net_MedNeXt","nnU-Net_STU-Net_L",0.882376357646294,"<75%"
"nnU-Net_NexToU","nnU-Net_STU-Net_L",1,"<75%"
"nnU-Net_ResEncL","nnU-Net_STU-Net_L",0.996786956701113,"<75%"
"nnU-Net_STU-Net_B","nnU-Net_STU-Net_L",0.0253141398767435,"<U+2265>95%"
"nnU-Net_STU-Net_H","nnU-Net_STU-Net_L",1,"<75%"
"nnU-Net_STU-Net_L","nnU-Net_STU-Net_L",NA,NA
"nnU-Net_U-Net","nnU-Net_STU-Net_L",0.999999675828823,"<75%"
"nnU-Net_UniSeg","nnU-Net_STU-Net_L",1,"<75%"
"MONAI_LHU-Net","nnU-Net_U-Net",1,"<75%"
"MONAI_SegVol","nnU-Net_U-Net",1,"<75%"
"MONAI_Swin_UNETR","nnU-Net_U-Net",1,"<75%"
"MONAI_UCTransNet","nnU-Net_U-Net",1,"<75%"
"MONAI_UNEST","nnU-Net_U-Net",1,"<75%"
"MONAI_UNETR","nnU-Net_U-Net",1,"<75%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_U-Net",1,"<75%"
"Vision_Language_U-Net_CLIP","nnU-Net_U-Net",1,"<75%"
"_Diff-UNet","nnU-Net_U-Net",1,"<75%"
"_MedFormer","nnU-Net_U-Net",1,"<75%"
"_SAM-Adapter","nnU-Net_U-Net",1,"<75%"
"nnU-Net_MedNeXt","nnU-Net_U-Net",0.0373931423817571,"<U+2265>95%"
"nnU-Net_NexToU","nnU-Net_U-Net",1,"<75%"
"nnU-Net_ResEncL","nnU-Net_U-Net",0.0120850090118108,"<U+2265>95%"
"nnU-Net_STU-Net_B","nnU-Net_U-Net",1.82420439654292e-08,"<U+2265>99.99%"
"nnU-Net_STU-Net_H","nnU-Net_U-Net",0.0645640107200265,"<U+2265>90%"
