"algoRow","algoCol","pval","confidenceTier"
"nnU-Net_STU-Net_B","nnU-Net_STU-Net_B",NA,NA
"nnU-Net_STU-Net_H","nnU-Net_STU-Net_B",3.92176251954625e-19,"<U+2265>99.99%"
"nnU-Net_STU-Net_L","nnU-Net_STU-Net_B",0.050628279753487,"<U+2265>90%"
"nnU-Net_U-Net","nnU-Net_STU-Net_B",3.64840879308585e-08,"<U+2265>99.99%"
"nnU-Net_UniSeg","nnU-Net_STU-Net_B",1.60952576235695e-151,"<U+2265>99.99%"
"MONAI_LHU-Net","nnU-Net_STU-Net_H",9.2358957691294e-183,"<U+2265>99.99%"
"MONAI_SegVol","nnU-Net_STU-Net_H",2.10573314155025e-216,"<U+2265>99.99%"
"MONAI_Swin_UNETR","nnU-Net_STU-Net_H",0,"<U+2265>99.99%"
"MONAI_UCTransNet","nnU-Net_STU-Net_H",5.03244373392552e-296,"<U+2265>99.99%"
"MONAI_UNEST","nnU-Net_STU-Net_H",0,"<U+2265>99.99%"
"MONAI_UNETR","nnU-Net_STU-Net_H",0,"<U+2265>99.99%"
"Vision_Language_Swin_UNETR_CLIP","nnU-Net_STU-Net_H",1.06631071824526e-213,"<U+2265>99.99%"
"Vision_Language_U-Net_CLIP","nnU-Net_STU-Net_H",1.2179074474718e-132,"<U+2265>99.99%"
"_Diff-UNet","nnU-Net_STU-Net_H",1.34170836130476e-118,"<U+2265>99.99%"
"_MedFormer","nnU-Net_STU-Net_H",6.96524598428306e-108,"<U+2265>99.99%"
"_SAM-Adapter","nnU-Net_STU-Net_H",0,"<U+2265>99.99%"
"nnU-Net_MedNeXt","nnU-Net_STU-Net_H",8.86759415175328e-05,"<U+2265>99.99%"
"nnU-Net_NexToU","nnU-Net_STU-Net_H",3.78075686029548e-205,"<U+2265>99.99%"
"nnU-Net_ResEncL","nnU-Net_STU-Net_H",0.221749665217313,"<U+2265>75%"
